season,round,fixture_id,kickoff_utc,home_id,away_id,home_score,away_score,teamsheet_status,model,p_away_31_plus,p_away_21_30,p_away_16_20,p_away_11_15,p_away_6_10,p_away_1_5,p_draw,p_home_1_5,p_home_6_10,p_home_11_15,p_home_16_20,p_home_21_30,p_home_31_plus,pick_winner,pick_margin,request_hash,model_version
202101,4,268120,2021-10-16T14:05:00+00:00,benetton-rugby,ospreys,26,29,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,4,268120,2021-10-16T14:05:00+00:00,benetton-rugby,ospreys,26,29,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
202101,4,268121,2021-10-16T16:15:00+00:00,leinster-rugby,scarlets,50,15,ok,elo,0.004694,0.018302,0.022098,0.036665,0.055599,0.077057,0.01798,0.101235,0.115112,0.11963,0.113629,0.176911,0.141088,home,11,,
202101,4,268121,2021-10-16T16:15:00+00:00,leinster-rugby,scarlets,50,15,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,4,268121,2021-10-16T16:15:00+00:00,leinster-rugby,scarlets,50,15,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,4,268122,2021-10-16T16:15:00+00:00,edinburgh-rugby,vodacom-bulls,17,10,ok,elo,0.009143,0.030262,0.033214,0.051326,0.072492,0.093576,0.020946,0.112888,0.119556,0.115724,0.102378,0.143953,0.094542,home,10,,
202101,4,268122,2021-10-16T16:15:00+00:00,edinburgh-rugby,vodacom-bulls,17,10,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,4,268122,2021-10-16T16:15:00+00:00,edinburgh-rugby,vodacom-bulls,17,10,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,4,268123,2021-10-16T18:35:00+00:00,munster-rugby,connacht-rugby,20,18,ok,elo,0.002842,0.012414,0.016024,0.027954,0.044571,0.064951,0.015603,0.090625,0.10835,0.118395,0.118242,0.197971,0.18206,home,15,,
202101,4,268123,2021-10-16T18:35:00+00:00,munster-rugby,connacht-rugby,20,18,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,4,268123,2021-10-16T18:35:00+00:00,munster-rugby,connacht-rugby,20,18,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,4,268124,2021-10-16T18:35:00+00:00,cardiff-rugby,hollywoodbets-sharks,23,17,ok,elo,0.016423,0.04636,0.046425,0.06706,0.088534,0.106828,0.022979,0.118851,0.117658,0.106457,0.088035,0.1125,0.06189,home,5,,
202101,4,268124,2021-10-16T18:35:00+00:00,cardiff-rugby,hollywoodbets-sharks,23,17,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,4,268124,2021-10-16T18:35:00+00:00,cardiff-rugby,hollywoodbets-sharks,23,17,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,5,268125,2021-10-22T18:35:00+00:00,scarlets,benetton-rugby,34,28,ok,elo,0.020115,0.053521,0.051815,0.073021,0.094054,0.110722,0.023471,0.119589,0.115503,0.101959,0.08226,0.101536,0.052434,home,5,,
202101,5,268125,2021-10-22T18:35:00+00:00,scarlets,benetton-rugby,34,28,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,5,268125,2021-10-22T18:35:00+00:00,scarlets,benetton-rugby,34,28,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
202101,5,268127,2021-10-22T18:35:00+00:00,glasgow-warriors,leinster-rugby,15,31,ok,elo,0.025372,0.062897,0.058493,0.080061,0.100153,0.114508,0.023854,0.119418,0.112019,0.096037,0.075252,0.089167,0.042767,home,1,,
202101,5,268127,2021-10-22T18:35:00+00:00,glasgow-warriors,leinster-rugby,15,31,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,5,268127,2021-10-22T18:35:00+00:00,glasgow-warriors,leinster-rugby,15,31,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
202101,5,268126,2021-10-23T12:00:00+00:00,zebre-parma,edinburgh-rugby,10,27,ok,elo,0.070227,0.121388,0.092423,0.109613,0.118816,0.117712,0.022492,0.103367,0.084018,0.062415,0.042378,0.041212,0.01394,away,5,,
202101,5,268126,2021-10-23T12:00:00+00:00,zebre-parma,edinburgh-rugby,10,27,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,5,268126,2021-10-23T12:00:00+00:00,zebre-parma,edinburgh-rugby,10,27,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
